recommendation,lever,KPI,effect_strength,lag_class,directness,rationale
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,Tortoise Commercial Score,1,long,long-run spillover,Keeping founders and senior builders in Canada supports later scale-up and commercialization outcomes.
Build the Conditions to Scale AI in Canada,Compute utilization subsidy for domestic AI firms,Tortoise Commercial Score,2,medium,direct,"Affordable compute helps scale-ups deploy, iterate, and serve customers at commercial speed."
Build the Conditions to Scale AI in Canada,Compute utilization subsidy for domestic AI firms,AI Investment Activity,1,medium,indirect,Lower infrastructure bottlenecks should make growth-stage firms more investable.
Build the Conditions to Scale AI in Canada,Compute utilization subsidy for domestic AI firms,Tortoise Development Score,1,long,indirect,More usable compute can support productization and applied model development over time.
Build the Conditions to Scale AI in Canada,Compute utilization subsidy for domestic AI firms,Tortoise Research Score,1,long,long-run spillover,Some subsidized compute should also benefit translational research and model experimentation.
Build the Conditions to Scale AI in Canada,Compute utilization subsidy for domestic AI firms,Notable AI Models,1,long,long-run spillover,Persistent compute access can eventually increase the odds of frontier model development.
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,AI Investment Activity,3,immediate,direct,A co-investment vehicle directly increases the volume and visibility of later-stage AI financing.
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,Tortoise Commercial Score,3,medium,direct,More growth capital should help firms cross the commercialization valley of death and scale revenue.
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,AI Job Postings (% of Total),2,medium,indirect,"Firms with fresh scale-up funding usually expand product, engineering, and go-to-market hiring."
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,Academia-Industry Concentration,1,long,indirect,"As more firms survive and scale, a larger share of advanced AI work should happen inside industry."
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,Net Migration Flow of AI Skills,1,long,long-run spillover,A stronger local scale-up market gives senior builders more reason to stay in Canada.
Build the Conditions to Scale AI in Canada,Growth-stage co-investment and later-stage scale-up capital,AI Patent Grants (per 100k),1,long,long-run spillover,Better-funded firms are more likely to protect commercially useful IP as they mature.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,Tortoise Commercial Score,3,medium,direct,Reference customers and paid contracts directly improve commercialization depth and firm traction.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,AI Adoption (%),2,medium,direct,A procurement-led adoption program should increase real AI deployment in operational settings.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,AI Investment Activity,2,medium,indirect,Credible customer validation should improve investor willingness to fund Canadian AI firms.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,AI Job Postings (% of Total),2,medium,indirect,Firms that convert pilots into contracts usually add delivery and product staff.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,Tortoise Development Score,1,long,long-run spillover,Repeated deployment feedback can improve product maturity and commercially useful IP over time.
Build the Conditions to Scale AI in Canada,Federal procurement challenge and pilot-to-contract conversion program,Net Migration Flow of AI Skills,1,long,long-run spillover,Visible domestic customers make Canadian firms more attractive places for senior AI talent to stay.
Stimulate B2B Demand via Adoption Credits,30–40% refundable first-customer AI adoption tax credit,AI Adoption (%),3,medium,direct,This lever directly lowers the cost of enterprise deployment and is meant to raise real AI use.
Stimulate B2B Demand via Adoption Credits,30–40% refundable first-customer AI adoption tax credit,Tortoise Commercial Score,3,medium,direct,"A subsidized first customer creates revenue traction, reference accounts, and stronger commercialization."
Stimulate B2B Demand via Adoption Credits,30–40% refundable first-customer AI adoption tax credit,AI Investment Activity,2,long,indirect,Validated enterprise demand should improve Series B/C fundraising prospects for Canadian AI firms.
Stimulate B2B Demand via Adoption Credits,30–40% refundable first-customer AI adoption tax credit,AI Job Postings (% of Total),2,medium,indirect,"More deployments should create implementation, product, and customer-success hiring demand."
Stimulate B2B Demand via Adoption Credits,30–40% refundable first-customer AI adoption tax credit,Net Migration Flow of AI Skills,1,long,long-run spillover,A stronger domestic demand environment makes it easier for top builders to stay in Canada.
Stimulate B2B Demand via Adoption Credits,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Tortoise Commercial Score,2,medium,direct,Targeting the credit to domestic AI scale-ups channels demand toward firms Canada wants to retain and grow.
Stimulate B2B Demand via Adoption Credits,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,AI Investment Activity,2,medium,indirect,Revenue that stays with Canadian-owned firms should improve their attractiveness to later-stage investors.
Stimulate B2B Demand via Adoption Credits,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Tortoise Development Score,1,long,long-run spillover,Keeping product revenue and IP in-country should support later product development and scaling.
Stimulate B2B Demand via Adoption Credits,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,AI Patent Grants (per 100k),1,long,long-run spillover,Domestic IP-retention incentives should gradually increase the share of protectable AI output held in Canada.
Stimulate B2B Demand via Adoption Credits,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Net Migration Flow of AI Skills,1,long,long-run spillover,Founders and senior engineers are more likely to stay if domestic firms can scale without selling early.
Stimulate B2B Demand via Adoption Credits,18-month conversion mandate and clawback for failed pilots,Tortoise Commercial Score,2,medium,direct,A conversion requirement pushes buyers toward real deployment and better-quality commercial outcomes.
Stimulate B2B Demand via Adoption Credits,18-month conversion mandate and clawback for failed pilots,AI Adoption (%),2,medium,direct,The mandate discourages superficial pilots and favors sustained operational use of AI systems.
Stimulate B2B Demand via Adoption Credits,18-month conversion mandate and clawback for failed pilots,AI Investment Activity,1,medium,indirect,More credible contract conversion data should strengthen investor confidence in Canadian AI revenue quality.
Stimulate B2B Demand via Adoption Credits,18-month conversion mandate and clawback for failed pilots,AI Job Postings (% of Total),1,long,long-run spillover,Only after pilots convert into multi-year contracts will firms add durable implementation and support teams.
