"relative_path","category","include_reason","chatbot_priority","runtime_needed","grounding_needed","presentation_qna_useful","result_verification_useful","notes"
"context_core\outputs\tables\kpi_gap_reduction_peer_best.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\scenario_comparison.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\simulation_summary.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\validation_report.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\baseline_validation_targets.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\calibration_notes.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\dashboard_spec_v1.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\gap_attribution_rules.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\model_scope_v1.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\DOCS\DECISIONS\recommendation_kpi_mapping.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\outputs\reports\technical_methodology_assumptions_table.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\outputs\reports\technical_methodology_file_inventory.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\outputs\reports\technical_methodology_reference_phases_1_to_6.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\technical_methodology_assumptions_table.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\technical_methodology_file_inventory.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_technical\technical_methodology_reference_phases_1_to_6.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_a_snapshot.png","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_b_snapshot.png","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\baseline_country_scores.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\calibration_effects.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\calibration_lags.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\canada_kpi_trajectories.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\canada_rank_trajectory.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\country_quarter_scores.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\implementation_schedule.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\kpi_gap_reduction_by_recommendation.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\scenario_comparison.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\dashboard_data_bundle\success_metrics_tracking.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\final_dashboard.html","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\overview_dashboard_interactive_v2.html","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\overview_dashboard_interactive_v2_all_checked_4k.png","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\overview_dashboard_interactive_v2_bold.html","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"dashboards\outputs\dashboard\timeline_dashboard_interactive_v2.html","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\calibration\calibration_effects.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\calibration\calibration_lags.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\calibration\competitor_drift.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\calibration\implementation_schedule.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\processed\impact_matrix_long.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\processed\success_metrics_tracking.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\raw\AI_Competitiveness_Rankings_and_Weights (1).xlsx","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\data\raw\canada_combined_kpi_weights_gaps.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\notebooks\notebook_setup.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"optional_reference\notebooks\reproduce_ai_competitiveness_baseline.ipynb","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
