dashboard_name,section_name,displayed_item,source_file,source_column_or_field,transformation_rule,verified_yes_no,notes
overview_dashboard_interactive_v2,kpi_values,AI Investment Activity,outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
overview_dashboard_interactive_v2,kpi_values,AI Adoption (%),outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
overview_dashboard_interactive_v2,impact_mapping,Rec1 peer-best impact bars,outputs/tables/kpi_gap_reduction_by_recommendation.csv,"scenario=rec1_only,benchmark_type=peer_best,quarter_index=16,absolute_gap_reduction",Max of 0 and absolute_gap_reduction,yes,Source-consistent mapping
overview_dashboard_interactive_v2,impact_mapping,Rec2 peer-best impact bars,outputs/tables/kpi_gap_reduction_by_recommendation.csv,"scenario=rec2_only,benchmark_type=peer_best,quarter_index=16,absolute_gap_reduction",Max of 0 and absolute_gap_reduction,yes,Source-consistent mapping
overview_dashboard_interactive_v2,impact_mapping,Rec3 peer-best impact bars,outputs/tables/kpi_gap_reduction_by_recommendation.csv,"scenario=rec3_only,benchmark_type=peer_best,quarter_index=16,absolute_gap_reduction",Max of 0 and absolute_gap_reduction,yes,Source-consistent mapping
overview_dashboard_interactive_v2,sensitive_kpis,Compute Hardware Index recommendation impact,"DOCS/DECISIONS/recommendation_kpi_mapping.md; data/processed/impact_matrix_long.csv; outputs/tables/kpi_gap_reduction_by_recommendation.csv",Mapping scope plus peer-best q16 reduction rows,Show zero mapped impact in dashboard bars,yes,No recommendation-linked impact shown
overview_dashboard_interactive_v2,summary_chips,Baseline and 2029Q4 all-recommendations outcomes,"outputs/tables/baseline_country_scores.csv; outputs/tables/scenario_comparison.csv","rank,composite_score,rank_median,composite_score_median,quarter",Direct lookup for Canada baseline and all_recommendations q16,yes,Chips are source-traceable
timeline_dashboard_interactive_v2,timeline_actions,Lever timing rows,"data/calibration/implementation_schedule.csv; data/calibration/calibration_effects.csv","recommendation_id,lever_id,start_quarter,full_effect_quarter,rollout_pattern,lever_name",Join schedule/effects and convert Yx_Qy to quarter index 1..16,yes,Displayed start/end and rollout are source-consistent
timeline_dashboard_interactive_v2,kpi_lines,Watched KPI trajectories,outputs/tables/canada_kpi_trajectories.csv,"scenario,quarter_index,quarter,kpi,kpi_score_median",Filter to watched KPIs and selected scenario and quarter window,yes,Line chart bound to source trajectories
timeline_dashboard_interactive_v2,rank_chart,Country rank/composite at selected quarter,outputs/tables/country_quarter_scores.csv,"scenario,quarter_index,country,rank,composite_score",Filter by selected scenario and quarter,yes,Bars match selected-quarter source values
timeline_dashboard_interactive_v2,scenario_banner,Canada composite/rank context at selected quarter,outputs/tables/canada_rank_trajectory.csv,"scenario,quarter_index,composite_score_median,rank_median,quarter",Direct lookup by selected scenario and quarter,yes,Banner value and quarter label are source-consistent
timeline_dashboard_interactive_v2,quarter_labels,Quarter index label format,"outputs/tables/canada_rank_trajectory.csv; outputs/tables/canada_kpi_trajectories.csv","quarter_index,quarter",Map q to YYYYQ# where year=2026+floor((q-1)/4) and Q=((q-1)%4)+1,yes,Applied in scenario banner and gantt axis
