recommendation_id,recommendation_name,lever_id,lever_name,KPI,effect_strength,numeric_coefficient,coefficient_scale,lag_class,lag_quarters,ramp_type,directness,rationale,calibration_effect_lever_id,calibration_lag_lever_id,calibration_anchor_scenario,calibration_anchor_value,calibration_effect_direction,calibration_confidence,calibration_mapping_note
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,Net Migration Flow of AI Skills,3,0.03519,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,front_loaded_then_s_curve,direct,"This lever is designed to increase net inflows of high-skill AI researchers, engineers, and founders.",rec1_lever1,rec1_lever1,high,0.38,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,Tortoise Talent Score,3,0.03519,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,front_loaded_then_s_curve,direct,A larger in-country stock of elite AI workers should raise the headline talent composite.,rec1_lever1,rec1_lever1,high,0.38,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,Relative AI Skill Penetration,2,0.020559,normalized_0_to_1_additive_delta_at_full_adoption,long,6,front_loaded_then_s_curve,direct,Bringing in more AI-skilled workers should gradually increase the share of the workforce with AI skills.,rec1_lever1,rec1_lever1,base,0.29,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,AI Talent Concentration,2,0.020559,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,front_loaded_then_s_curve,indirect,New high-end entrants are likely to cluster around Canada’s existing AI hubs.,rec1_lever1,rec1_lever1,base,0.29,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,AI Hiring Rate YoY Ratio,1,0.008032,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,front_loaded_then_s_curve,indirect,A larger supply of eligible AI workers should help firms fill open roles faster.,rec1_lever1,rec1_lever1,low,0.26,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,Tortoise Research Score,1,0.008032,normalized_0_to_1_additive_delta_at_full_adoption,long,6,front_loaded_then_s_curve,long-run spillover,Elite researchers and engineers can strengthen research output after they are embedded in labs and firms.,rec1_lever1,rec1_lever1,low,0.26,positive,weak,Matched to the immigration fast-track calibration row.
rec1,Build Career Moats for Talent,rec1_detail_3,AI Elite fast-track visa and permanent-residency stream,Tortoise Commercial Score,1,0.008032,normalized_0_to_1_additive_delta_at_full_adoption,long,6,front_loaded_then_s_curve,long-run spillover,Keeping founders and senior builders in Canada supports later scale-up and commercialization outcomes.,rec1_lever1,rec1_lever1,low,0.26,positive,weak,Matched to the immigration fast-track calibration row.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_1,Compute utilization subsidy for domestic AI firms,Tortoise Commercial Score,2,0.021094,normalized_0_to_1_additive_delta_at_full_adoption,medium,6,slow_start_then_s_curve,direct,"Affordable compute helps scale-ups deploy, iterate, and serve customers at commercial speed.",rec2_lever1,rec2_lever1,base,0.125,positive,medium,Commercial rows borrow commercialization-stage support; R&D rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_1,Compute utilization subsidy for domestic AI firms,AI Investment Activity,1,0.008475,normalized_0_to_1_additive_delta_at_full_adoption,medium,6,slow_start_then_s_curve,indirect,Lower infrastructure bottlenecks should make growth-stage firms more investable.,rec2_lever1,rec2_lever1,low,0.13,positive,medium,Commercial rows borrow commercialization-stage support; R&D rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_1,Compute utilization subsidy for domestic AI firms,Tortoise Development Score,1,0.008085,normalized_0_to_1_additive_delta_at_full_adoption,long,20,back_loaded,indirect,More usable compute can support productization and applied model development over time.,rec2_lever2,rec2_lever2,low,0.078,positive,medium,Commercial rows borrow commercialization-stage support; R&D rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_1,Compute utilization subsidy for domestic AI firms,Tortoise Research Score,1,0.008085,normalized_0_to_1_additive_delta_at_full_adoption,long,20,back_loaded,long-run spillover,Some subsidized compute should also benefit translational research and model experimentation.,rec2_lever2,rec2_lever2,low,0.078,positive,medium,Commercial rows borrow commercialization-stage support; R&D rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_1,Compute utilization subsidy for domestic AI firms,Notable AI Models,1,0.008085,normalized_0_to_1_additive_delta_at_full_adoption,long,20,back_loaded,long-run spillover,Persistent compute access can eventually increase the odds of frontier model development.,rec2_lever2,rec2_lever2,low,0.078,positive,medium,Commercial rows borrow commercialization-stage support; R&D rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,AI Investment Activity,3,0.0327,normalized_0_to_1_additive_delta_at_full_adoption,immediate,4,slow_start_then_s_curve,direct,A co-investment vehicle directly increases the volume and visibility of later-stage AI financing.,rec2_lever1,rec2_lever1,high,0.09,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,Tortoise Commercial Score,3,0.0327,normalized_0_to_1_additive_delta_at_full_adoption,medium,6,slow_start_then_s_curve,direct,More growth capital should help firms cross the commercialization valley of death and scale revenue.,rec2_lever1,rec2_lever1,high,0.09,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,AI Job Postings (% of Total),2,0.021094,normalized_0_to_1_additive_delta_at_full_adoption,medium,6,slow_start_then_s_curve,indirect,"Firms with fresh scale-up funding usually expand product, engineering, and go-to-market hiring.",rec2_lever1,rec2_lever1,base,0.125,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,Academia-Industry Concentration,1,0.008475,normalized_0_to_1_additive_delta_at_full_adoption,long,8,slow_start_then_s_curve,indirect,"As more firms survive and scale, a larger share of advanced AI work should happen inside industry.",rec2_lever1,rec2_lever1,low,0.13,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,Net Migration Flow of AI Skills,1,0.008475,normalized_0_to_1_additive_delta_at_full_adoption,long,8,slow_start_then_s_curve,long-run spillover,A stronger local scale-up market gives senior builders more reason to stay in Canada.,rec2_lever1,rec2_lever1,low,0.13,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_2,Growth-stage co-investment and later-stage scale-up capital,AI Patent Grants (per 100k),1,0.008085,normalized_0_to_1_additive_delta_at_full_adoption,long,20,back_loaded,long-run spillover,Better-funded firms are more likely to protect commercially useful IP as they mature.,rec2_lever2,rec2_lever2,low,0.078,positive,medium,Commercial rows borrow co-investment calibration; patent/development rows borrow commercialization-ready R&D funding.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,Tortoise Commercial Score,3,0.034,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,direct,Reference customers and paid contracts directly improve commercialization depth and firm traction.,rec3_lever2,rec3_lever2,high,0.5,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,AI Adoption (%),2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,direct,A procurement-led adoption program should increase real AI deployment in operational settings.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,AI Investment Activity,2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,indirect,Credible customer validation should improve investor willingness to fund Canadian AI firms.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,AI Job Postings (% of Total),2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,indirect,Firms that convert pilots into contracts usually add delivery and product staff.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,Tortoise Development Score,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Repeated deployment feedback can improve product maturity and commercially useful IP over time.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec2,Build the Conditions to Scale AI in Canada,rec2_detail_3,Federal procurement challenge and pilot-to-contract conversion program,Net Migration Flow of AI Skills,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Visible domestic customers make Canadian firms more attractive places for senior AI talent to stay.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Borrowed demand-pull procurement calibration because this lever is contract-conversion driven.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_1,30–40% refundable first-customer AI adoption tax credit,AI Adoption (%),3,0.036,normalized_0_to_1_additive_delta_at_full_adoption,medium,4,pilot_to_scale_s_curve,direct,This lever directly lowers the cost of enterprise deployment and is meant to raise real AI use.,rec3_lever1,rec3_lever1,high,0.5,positive,"medium on direction, weak on size",Matched to the adoption-subsidy calibration row for adoption and borrowed demand-pull calibration for downstream commercial spillovers.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_1,30–40% refundable first-customer AI adoption tax credit,Tortoise Commercial Score,3,0.034,normalized_0_to_1_additive_delta_at_full_adoption,medium,4,pilot_to_scale_s_curve,direct,"A subsidized first customer creates revenue traction, reference accounts, and stronger commercialization.",rec3_lever2,rec3_lever1,high,0.5,positive,weak,Matched to the adoption-subsidy calibration row for adoption and borrowed demand-pull calibration for downstream commercial spillovers.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_1,30–40% refundable first-customer AI adoption tax credit,AI Investment Activity,2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,long,6,pilot_to_scale_s_curve,indirect,Validated enterprise demand should improve Series B/C fundraising prospects for Canadian AI firms.,rec3_lever2,rec3_lever1,base,0.5,positive,weak,Matched to the adoption-subsidy calibration row for adoption and borrowed demand-pull calibration for downstream commercial spillovers.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_1,30–40% refundable first-customer AI adoption tax credit,AI Job Postings (% of Total),2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,4,pilot_to_scale_s_curve,indirect,"More deployments should create implementation, product, and customer-success hiring demand.",rec3_lever2,rec3_lever1,base,0.5,positive,weak,Matched to the adoption-subsidy calibration row for adoption and borrowed demand-pull calibration for downstream commercial spillovers.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_1,30–40% refundable first-customer AI adoption tax credit,Net Migration Flow of AI Skills,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,pilot_to_scale_s_curve,long-run spillover,A stronger domestic demand environment makes it easier for top builders to stay in Canada.,rec3_lever2,rec3_lever1,low,0.002,positive,weak,Matched to the adoption-subsidy calibration row for adoption and borrowed demand-pull calibration for downstream commercial spillovers.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_2,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Tortoise Commercial Score,2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,direct,Targeting the credit to domestic AI scale-ups channels demand toward firms Canada wants to retain and grow.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Borrowed demand-pull calibration because this lever governs which firms benefit from the adoption-credit bundle.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_2,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,AI Investment Activity,2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,indirect,Revenue that stays with Canadian-owned firms should improve their attractiveness to later-stage investors.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Borrowed demand-pull calibration because this lever governs which firms benefit from the adoption-credit bundle.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_2,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Tortoise Development Score,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Keeping product revenue and IP in-country should support later product development and scaling.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Borrowed demand-pull calibration because this lever governs which firms benefit from the adoption-credit bundle.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_2,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,AI Patent Grants (per 100k),1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Domestic IP-retention incentives should gradually increase the share of protectable AI output held in Canada.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Borrowed demand-pull calibration because this lever governs which firms benefit from the adoption-credit bundle.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_2,Eligibility rules favor Canadian-owned IP and Canadian AI scale-ups,Net Migration Flow of AI Skills,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Founders and senior engineers are more likely to stay if domestic firms can scale without selling early.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Borrowed demand-pull calibration because this lever governs which firms benefit from the adoption-credit bundle.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_3,18-month conversion mandate and clawback for failed pilots,Tortoise Commercial Score,2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,direct,A conversion requirement pushes buyers toward real deployment and better-quality commercial outcomes.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Matched to the contract-conversion / demand-pull calibration row.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_3,18-month conversion mandate and clawback for failed pilots,AI Adoption (%),2,0.02125,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,direct,The mandate discourages superficial pilots and favors sustained operational use of AI systems.,rec3_lever2,rec3_lever2,base,0.5,positive,weak,Matched to the contract-conversion / demand-pull calibration row.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_3,18-month conversion mandate and clawback for failed pilots,AI Investment Activity,1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,medium,5,lumpy_contract_driven,indirect,More credible contract conversion data should strengthen investor confidence in Canadian AI revenue quality.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Matched to the contract-conversion / demand-pull calibration row.
rec3,Stimulate B2B Demand via Adoption Credits,rec3_detail_3,18-month conversion mandate and clawback for failed pilots,AI Job Postings (% of Total),1,0.006388,normalized_0_to_1_additive_delta_at_full_adoption,long,6,lumpy_contract_driven,long-run spillover,Only after pilots convert into multi-year contracts will firms add durable implementation and support teams.,rec3_lever2,rec3_lever2,low,0.002,positive,weak,Matched to the contract-conversion / demand-pull calibration row.
